id,label
1,surprise
2,anger
3,surprise
4,disgust
5,sad
6,sad
7,surprise
8,fear
9,surprise
10,surprise
11,joy
12,surprise
13,fear
14,sad
15,fear
16,fear
17,anger
18,surprise
19,surprise
20,fear
21,anger
22,surprise
23,sad
24,surprise
25,sad
26,disgust
27,joy
28,surprise
29,disgust
30,fear
31,joy
32,surprise
33,sad
34,fear
35,joy
36,joy
37,fear
38,surprise
39,anger
40,fear
41,surprise
42,fear
43,joy
44,disgust
45,disgust
46,joy
47,joy
48,anger
49,sad
50,fear
51,joy
52,joy
53,surprise
54,joy
55,disgust
56,surprise
57,sad
58,surprise
59,surprise
60,anger
61,disgust
62,fear
63,disgust
64,fear
65,sad
66,joy
67,joy
68,surprise
69,sad
70,surprise
71,sad
72,anger
73,sad
74,sad
75,fear
76,surprise
77,disgust
78,joy
79,anger
80,surprise
81,fear
82,sad
83,joy
84,disgust
85,fear
86,fear
87,fear
88,joy
89,joy
90,disgust
91,surprise
92,fear
93,anger
94,surprise
95,fear
96,disgust
97,joy
98,sad
99,surprise
100,joy
101,fear
102,joy
103,sad
104,joy
105,fear
106,sad
107,sad
108,surprise
109,disgust
110,sad
111,sad
112,fear
113,surprise
114,fear
115,fear
116,joy
117,anger
118,surprise
119,anger
120,fear
121,joy
122,surprise
123,joy
124,disgust
125,surprise
126,disgust
127,surprise
128,fear
129,joy
130,surprise
131,joy
132,disgust
133,fear
134,sad
135,fear
136,joy
137,fear
138,anger
139,fear
140,anger
141,joy
142,sad
143,joy
144,joy
145,surprise
146,sad
147,surprise
148,sad
149,fear
150,sad
151,fear
152,anger
153,joy
154,surprise
155,surprise
156,joy
157,joy
158,surprise
159,anger
160,disgust
161,fear
162,sad
163,anger
164,disgust
165,disgust
166,joy
167,sad
168,surprise
169,fear
170,joy
171,fear
172,surprise
173,joy
174,joy
175,sad
176,joy
177,fear
178,joy
179,joy
180,joy
181,fear
182,surprise
183,anger
184,disgust
185,surprise
186,fear
187,joy
188,fear
189,surprise
190,disgust
191,fear
192,anger
193,joy
194,sad
195,anger
196,surprise
197,sad
198,joy
199,fear
200,fear
201,joy
202,surprise
203,fear
204,surprise
205,surprise
206,sad
207,fear
208,anger
209,joy
210,fear
211,fear
212,fear
213,fear
214,disgust
215,sad
216,surprise
217,joy
218,surprise
219,disgust
220,joy
221,joy
222,surprise
223,surprise
224,sad
225,fear
226,anger
227,anger
228,fear
229,joy
230,sad
231,anger
232,surprise
233,sad
234,disgust
235,anger
236,fear
237,sad
238,disgust
239,surprise
240,anger
241,surprise
242,disgust
243,anger
244,joy
245,disgust
246,anger
247,disgust
248,surprise
249,joy
250,surprise
251,joy
252,surprise
253,sad
254,joy
255,fear
256,sad
257,sad
258,disgust
259,anger
260,surprise
261,sad
262,surprise
263,surprise
264,sad
265,surprise
266,surprise
267,anger
268,disgust
269,sad
270,fear
271,anger
272,fear
273,disgust
274,joy
275,joy
276,disgust
277,joy
278,sad
279,fear
280,fear
281,sad
282,sad
283,anger
284,joy
285,surprise
286,fear
287,disgust
288,sad
289,sad
290,joy
291,anger
292,disgust
293,disgust
294,disgust
295,sad
296,joy
297,anger
298,fear
299,sad
300,disgust
301,surprise
302,anger
303,surprise
304,sad
305,joy
306,fear
307,fear
308,joy
309,fear
310,sad
311,disgust
312,joy
