1,1,0,0,6,0,1,0.2879,0.81,16
1,1,1,0,6,0,1,0.2727,0.8,40
1,1,2,0,6,0,1,0.2727,0.8,32
1,1,3,0,6,0,1,0.2879,0.75,13
1,1,4,0,6,0,1,0.2879,0.75,1
1,1,5,0,6,0,2,0.2576,0.75,1
1,1,6,0,6,0,1,0.2727,0.8,2
1,1,7,0,6,0,1,0.2576,0.86,3
1,1,8,0,6,0,1,0.2879,0.75,8
1,1,9,0,6,0,1,0.3485,0.76,14
1,1,10,0,6,0,1,0.3939,0.76,36
1,1,11,0,6,0,1,0.3333,0.81,56
1,1,12,0,6,0,1,0.4242,0.77,84
1,1,13,0,6,0,2,0.4545,0.72,94
1,1,14,0,6,0,2,0.4545,0.72,106
1,1,15,0,6,0,2,0.4394,0.77,110
1,1,16,0,6,0,2,0.4242,0.82,93
1,1,17,0,6,0,2,0.4394,0.82,67
1,1,18,0,6,0,3,0.4242,0.88,35
1,1,19,0,6,0,3,0.4242,0.88,37
